Season,Date,away_team,away_team_pts,home_team,home_team_pts
2019,"Sat, Jul 20, 2019",LAS,78,NYL,83
2019,"Sun, Jul 21, 2019",IND,70,CHI,78
2019,"Sun, Jul 21, 2019",MIN,74,LVA,79
2019,"Sun, Jul 21, 2019",ATL,65,WAS,93
2019,"Tue, Jul 23, 2019",LAS,78,ATL,66
2019,"Tue, Jul 23, 2019",SEA,62,LVA,79
2019,"Tue, Jul 23, 2019",IND,77,PHO,95
2019,"Wed, Jul 24, 2019",NYL,63,CON,70
2019,"Wed, Jul 24, 2019",WAS,79,MIN,71
2019,"Tue, Jul 30, 2019",CHI,94,CON,100
2019,"Tue, Jul 30, 2019",DAL,54,LVA,86
2019,"Tue, Jul 30, 2019",PHO,93,WAS,99
2019,"Wed, Jul 31, 2019",ATL,59,IND,61
2019,"Thu, Aug 1, 2019",PHO,62,CON,68
2019,"Thu, Aug 1, 2019",NYL,64,DAL,87
2019,"Thu, Aug 1, 2019",LVA,68,LAS,76
2019,"Fri, Aug 2, 2019",WAS,99,SEA,79
2019,"Sat, Aug 3, 2019",CHI,87,ATL,75
2019,"Sat, Aug 3, 2019",LVA,75,DAL,70
2019,"Sat, Aug 3, 2019",MIN,75,IND,86
2019,"Sun, Aug 4, 2019",SEA,75,LAS,83
2019,"Sun, Aug 4, 2019",CON,94,NYL,79
2019,"Sun, Aug 4, 2019",WAS,82,PHO,103
2019,"Mon, Aug 5, 2019",WAS,99,LVA,70
2019,"Tue, Aug 6, 2019",MIN,85,ATL,69
2019,"Wed, Aug 7, 2019",NYL,92,CHI,101
2019,"Thu, Aug 8, 2019",PHO,74,LAS,84
2019,"Thu, Aug 8, 2019",DAL,57,SEA,69
2019,"Thu, Aug 8, 2019",IND,78,WAS,91
2019,"Fri, Aug 9, 2019",CHI,87,LVA,84
2019,"Fri, Aug 9, 2019",CON,57,MIN,89
2019,"Sat, Aug 10, 2019",ATL,82,IND,87
2019,"Sat, Aug 10, 2019",DAL,80,PHO,77
2019,"Sun, Aug 11, 2019",CHI,81,LAS,84
2019,"Sun, Aug 11, 2019",CON,81,LVA,89
2019,"Sun, Aug 11, 2019",SEA,84,NYL,69
2019,"Sun, Aug 11, 2019",MIN,78,WAS,101
2019,"Tue, Aug 13, 2019",ATL,90,LVA,94
2019,"Tue, Aug 13, 2019",MIN,89,NYL,73
